Key,English,Arabic
"accountSubtypes.accountsPayable","","حسابات دائنة"
"accountSubtypes.accountsReceivable","","حسابات مدينة"
"accountSubtypes.cash","","نقد"
"accountSubtypes.costOfGoods","","تكلفة البضاعة المباعة"
"accountSubtypes.creditCard","","بطاقة ائتمان"
"accountSubtypes.currentAsset","","أصول متداولة"
"accountSubtypes.currentLiability","","خصوم متداولة"
"accountSubtypes.dividends","","أرباح موزعة"
"accountSubtypes.fixedAsset","","أصول ثابتة"
"accountSubtypes.interestIncome","","دخل فوائد"
"accountSubtypes.inventory","","مخزون"
"accountSubtypes.longTermLiability","","خصوم طويلة الأجل"
"accountSubtypes.operatingExpense","","مصروفات تشغيلية"
"accountSubtypes.otherAsset","","أصول أخرى"
"accountSubtypes.otherExpense","","مصروفات أخرى"
"accountSubtypes.otherLiability","","خصوم أخرى"
"accountSubtypes.otherRevenue","","إيرادات أخرى"
"accountSubtypes.ownersEquity","","حقوق مالك المنشأة"
"accountSubtypes.rentExpense","","مصروفات إيجار"
"accountSubtypes.retainedEarnings","","أرباح محتجزة"
"accountSubtypes.salaryExpense","","مصروفات رواتب"
"accountSubtypes.salesRevenue","","إيرادات مبيعات"
"accountSubtypes.serviceRevenue","","إيرادات خدمات"
"accountSubtypes.shareCapital","","رأس المال"
"accountSubtypes.utilityExpense","","مصروفات خدمات ومرافق"
"accountTypes.Accounts Payable","","الذمم الدائنة"
"accountTypes.Accounts Receivable","","الذمم المدينة"
"accountTypes.Credit Card","","بطاقة ائتمان"
"accountTypes.Current Assets","","الأصول المتداولة"
"accountTypes.Current Liabilities","","الالتزامات المتداولة"
"accountTypes.Fixed Assets","","الأصول الثابتة"
"accountTypes.Interest Income","","دخل الفوائد"
"accountTypes.Operating Expenses","","المصروفات التشغيلية"
"accountTypes.Other Assets","","أصول أخرى"
"accountTypes.Other Expenses","","مصروفات أخرى"
"accountTypes.Other Liabilities","","التزامات أخرى"
"accountTypes.Other Revenue","","إيرادات أخرى"
"accountTypes.Rent Expense","","مصروف الإيجار"
"accountTypes.Retained Earnings","","الأرباح المحتجزة"
"accountTypes.Sales Revenue","","إيرادات المبيعات"
"accountTypes.Service Revenue","","إيرادات الخدمات"
"accountTypes.Share Capital","","رأس المال"
"accountTypes.accountsPayable","","ذمم دائنة"
"accountTypes.accountsReceivable","","ذمم مدينة"
"accountTypes.asset","","أصول"
"accountTypes.cashAndBank","","نقد وبنوك"
"accountTypes.costOfGoodsSold","","تكلفة البضاعة المباعة"
"accountTypes.currentAssets","Current Assets","أصول متداولة"
"accountTypes.currentLiabilities","Current Liabilities","خصوم متداولة"
"accountTypes.equity","Equity","حقوق الملكية"
"accountTypes.expense","","مصروفات"
"accountTypes.expenses","","المصروفات"
"accountTypes.fixedAssets","","أصول ثابتة"
"accountTypes.inventory","","مخزون"
"accountTypes.liability","","خصوم"
"accountTypes.longTermLiabilities","","خصوم طويلة الأجل"
"accountTypes.nonCurrentAssets","Non-Current Assets","أصول غير متداولة"
"accountTypes.nonCurrentLiabilities","Non-Current Liabilities","التزامات غير متداولة"
"accountTypes.operatingExpenses","","مصروفات تشغيلية"
"accountTypes.otherAssets","","أصول أخرى"
"accountTypes.otherExpenses","","مصروفات أخرى"
"accountTypes.otherIncome","","دخل آخر"
"accountTypes.revenue","","إيرادات"
"accounting.accounts.active","Active Account","حساب نشط"
"accounting.accounts.activeDesc","Inactive accounts cannot be used in transactions","لا يمكن استخدام الحسابات غير النشطة في المعاملات"
"accounting.accounts.add","Add Account","إضافة حساب"
"accounting.accounts.code","Account Code","رمز الحساب"
"accounting.accounts.create","Create Account","إنشاء حساب"
"accounting.accounts.description","Manage your chart of accounts and financial structure","إدارة دليل الحسابات والهيكل المالي"
"accounting.accounts.descriptionLabel","Description","الوصف"
"accounting.accounts.edit","Edit Account","تعديل الحساب"
"accounting.accounts.messages.createFailed","Failed to create account","فشل في إنشاء الحساب"
"accounting.accounts.messages.created","Account created successfully","تم إنشاء الحساب بنجاح"
"accounting.accounts.messages.deleteConfirm","Are you sure you want to delete this account?","هل أنت متأكد من حذف هذا الحساب؟"
"accounting.accounts.messages.deleteFailed","Failed to delete account","فشل في حذف الحساب"
"accounting.accounts.messages.deleteWarning","This action cannot be undone.","لا يمكن التراجع عن هذا الإجراء."
"accounting.accounts.messages.deleted","Account deleted successfully","تم حذف الحساب بنجاح"
"accounting.accounts.messages.noAccounts","No accounts found","لم يتم العثور على حسابات"
"accounting.accounts.messages.startAdding","Start by adding your first account","ابدأ بإضافة حسابك الأول"
"accounting.accounts.messages.updateFailed","Failed to update account","فشل في تحديث الحساب"
"accounting.accounts.messages.updated","Account updated successfully","تم تحديث الحساب بنجاح"
"accounting.accounts.name","Account Name","اسم الحساب"
"accounting.accounts.subtype","Account Subtype","النوع الفرعي للحساب"
"accounting.accounts.subtypes.AccountsPayable","Accounts Payable","ذمم دائنة"
"accounting.accounts.subtypes.AccountsReceivable","Accounts Receivable","ذمم مدينة"
"accounting.accounts.subtypes.Cash","Cash","نقدية"
"accounting.accounts.subtypes.CostOfGoods","Cost of Goods Sold","تكلفة البضاعة المباعة"
"accounting.accounts.subtypes.CreditCard","Credit Card","بطاقة ائتمان"
"accounting.accounts.subtypes.CurrentAsset","Current Asset","أصل متداول"
"accounting.accounts.subtypes.CurrentLiability","Current Liability","التزام متداول"
"accounting.accounts.subtypes.Dividends","Dividends","توزيعات الأرباح"
"accounting.accounts.subtypes.FixedAsset","Fixed Asset","أصل ثابت"
"accounting.accounts.subtypes.InterestIncome","Interest Income","دخل الفوائد"
"accounting.accounts.subtypes.Inventory","Inventory","مخزون"
"accounting.accounts.subtypes.LongTermLiability","Long Term Liability","التزام طويل الأجل"
"accounting.accounts.subtypes.OperatingExpense","Operating Expense","مصروفات التشغيل"
"accounting.accounts.subtypes.OtherAsset","Other Asset","أصل آخر"
"accounting.accounts.subtypes.OtherExpense","Other Expense","مصروفات أخرى"
"accounting.accounts.subtypes.OtherLiability","Other Liability","التزام آخر"
"accounting.accounts.subtypes.OtherRevenue","Other Revenue","إيرادات أخرى"
"accounting.accounts.subtypes.OwnersEquity","Owner's Equity","حقوق الملاك"
"accounting.accounts.subtypes.RentExpense","Rent Expense","مصروفات الإيجار"
"accounting.accounts.subtypes.RetainedEarnings","Retained Earnings","الأرباح المحتجزة"
"accounting.accounts.subtypes.SalaryExpense","Salary Expense","مصروفات الرواتب"
"accounting.accounts.subtypes.SalesRevenue","Sales Revenue","إيرادات المبيعات"
"accounting.accounts.subtypes.ServiceRevenue","Service Revenue","إيرادات الخدمات"
"accounting.accounts.subtypes.ShareCapital","Share Capital","رأس مال الأسهم"
"accounting.accounts.subtypes.UtilityExpense","Utility Expense","مصروفات المرافق"
"accounting.accounts.title","Chart of Accounts","دليل الحسابات"
"accounting.accounts.type","Account Type","نوع الحساب"
"accounting.accounts.types.asset","Asset","أصل"
"accounting.accounts.types.equity","Equity","حقوق ملكية"
"accounting.accounts.types.expense","Expense","مصروف"
"accounting.accounts.types.liability","Liability","التزام"
"accounting.accounts.types.revenue","Revenue","إيراد"
"accounting.costCenters.add","Add Cost Center","إضافة مركز تكلفة"
"accounting.costCenters.code","Code","الرمز"
"accounting.costCenters.createSuccess","Cost center created successfully","تم إنشاء مركز التكلفة بنجاح"
"accounting.costCenters.deleteSuccess","Cost center deleted successfully","تم حذف مركز التكلفة بنجاح"
"accounting.costCenters.edit","Edit Cost Center","تعديل مركز التكلفة"
"accounting.costCenters.list","Cost Centers List","قائمة مراكز التكلفة"
"accounting.costCenters.name","Name","الاسم"
"accounting.costCenters.parent","Parent Cost Center","مركز التكلفة الرئيسي"
"accounting.costCenters.title","Cost Centers","مراكز التكلفة"
"accounting.costCenters.updateSuccess","Cost center updated successfully","تم تحديث مركز التكلفة بنجاح"
"accounting.insights.anomalies","Anomalies Detected","الحالات الشاذة المكتشفة"
"accounting.insights.anomaliesDesc","Transactions that deviate from normal patterns.","المعاملات التي تنحرف عن الأنماط الطبيعية."
"accounting.insights.askAI","","إنشاء تقرير المدير المالي"
"accounting.insights.cashFlowDesc","Predicted cash flow for the next 30 days.","التدفق النقدي المتوقع للـ 30 يوماً القادمة."
