Key,English,Arabic (Reference),Category,Translation,Notes
app.name,Log & Ledger,Log & Ledger,General,,
app.tagline,Professional Global Accounting Software,برنامج محاسبة احترافي عالمي,General,,
common.save,Save,حفظ,General,,
common.cancel,Cancel,إلغاء,General,,
common.delete,Delete,حذف,General,,
common.edit,Edit,تعديل,General,,
common.view,View,عرض,General,,
common.add,Add,إضافة,General,,
common.create,Create,إنشاء,General,,
common.update,Update,تحديث,General,,
common.search,Search,بحث,General,,
common.filter,Filter,تصفية,General,,
common.export,Export,تصدير,General,,
common.import,Import,استيراد,General,,
common.download,download,تحميل,General,,
common.upload,upload,رفع,General,,
common.print,Print,طباعة,General,,
common.refresh,refresh,تحديث,General,,
common.retry,Try Again,أعد المحاولة,General,,
common.back,Back,رجوع,General,,
common.next,Next,التالي,General,,
common.previous,Previous,السابق,General,,
common.close,Close,إغلاق,General,,
common.submit,Submit,إرسال,General,,
common.reset,reset,إعادة تعيين,General,,
common.clear,clear,مسح,General,,
common.apply,apply,تطبيق,General,,
common.confirm,Confirm,تأكيد,General,,
common.active,Active,نشط,General,,
common.inactive,Inactive,غير نشط,General,,
common.pending,Pending,قيد الانتظار,General,,
common.approved,Approved,موافق عليه,General,,
common.rejected,Rejected,مرفوض,General,,
common.paid,Paid,مدفوع,General,,
common.unpaid,Unpaid,غير مدفوع,General,,
common.overdue,Overdue,متأخر,General,,
common.partiallyPaid,Partially Paid,مدفوع جزئياً,General,,
common.draft,Draft,مسودة,General,,
common.sent,sent,مرسل,General,,
common.completed,Complete,مكتمل,General,,
common.cancelled,cancelled,ملغي,General,,
common.yes,Yes,نعم,General,,
common.no,No,لا,General,,
common.all,All,الكل,General,,
common.none,none,لا شيء,General,,
common.total,Total,الإجمالي,General,,
common.subtotal,Subtotal,المجموع الفرعي,General,,
common.tax,Tax,الضريبة,General,,
common.discount,Discount,الخصم,General,,
common.amount,Amount,المبلغ,General,,
common.quantity,Qty,الكمية,General,,
common.price,Price,السعر,General,,
common.date,Date,التاريخ,General,,
common.description,Description,الوصف,General,,
common.notes,Notes,ملاحظات,General,,
common.reference,Reference,المرجع,General,,
common.status,Status,الحالة,General,,
common.actions,Actions,الإجراءات,UI-Button,,
common.details,Details,التفاصيل,General,,
common.duplicate,Duplicate,نسخ,General,,
common.summary,summary,الملخص,General,,
common.loading,Loading...,جاري التحميل...,General,,
common.success,Success,نجاح,General,,
common.error,Mistake,خطأ,General,,
common.warning,Warning,تحذير,General,,
